AGT MGT INST NAME,AGENT CODE,count,Actual_Pay,AGT MGT INST NAME correct on ICAD?,AGENT CODE correct on ICAD?,count correct on ICAD?,Actual_Pay correct on ICAD?,AGT MGT INST NAME_ICAD,AGENT CODE_CAD,count_ICAD,Actual_Pay_ICAD,Account_ICAD,bank_ICAD
Chams Mobile,91383546.0,1.0,100.0,True,True,True,True,Chams Mobile,91383546.0,1.0,100.0,000000000nan,
Chams Mobile,91383545.0,1.0,100.0,True,True,True,True,Chams Mobile,91383545.0,1.0,100.0,000000000nan,
Chams Mobile,91372889.0,1.0,100.0,True,True,True,True,Chams Mobile,91372889.0,1.0,100.0,000000000nan,
Chams Mobile,91067841.0,1.0,100.0,True,True,True,True,Chams Mobile,91067841.0,1.0,100.0,000000000nan,
Chams Mobile,91397066.0,1.0,100.0,True,True,True,True,Chams Mobile,91397066.0,1.0,100.0,0000045555.0,
Chams Mobile,91450878.0,1.0,100.0,True,True,True,True,Chams Mobile,91450878.0,1.0,100.0,000000000nan,
Chams Mobile,90048083.0,2.0,200.0,True,True,True,True,Chams Mobile,90048083.0,2.0,200.0,0000002334.0,
ZENITH BANK PLC,90946249.0,2.0,200.0,True,True,True,True,ZENITH BANK PLC,90946249.0,2.0,200.0,000000000nan,
Chams Mobile,91455464.0,2.0,200.0,True,True,True,True,Chams Mobile,91455464.0,2.0,200.0,000000000nan,
kb,91067839.0,2.0,200.0,True,True,True,True,kb,91067839.0,2.0,200.0,000000000nan,
ZENITH BANK PLC,90839388.0,2.0,200.0,True,True,True,True,ZENITH BANK PLC,90839388.0,2.0,200.0,000000000nan,
Chams Mobile,91447660.0,2.0,200.0,True,True,True,True,Chams Mobile,91447660.0,2.0,200.0,000000000nan,
Chams Mobile,91421710.0,2.0,200.0,True,True,True,True,Chams Mobile,91421710.0,2.0,200.0,000000000nan,
Chams Mobile,91340376.0,3.0,300.0,True,True,True,True,Chams Mobile,91340376.0,3.0,300.0,000000000nan,
